date,order_book_id,symbol,margin,margin_rate,contract_multiplier,last_price,buy_pnl,buy_margin,buy_quantity,buy_avg_open_price,sell_pnl,sell_margin,sell_quantity,sell_avg_open_price
2010-11-01,RB1105,ÂÝÎÆ¸Ö1105,771278.2,0.07,10.0,4553.0,159425.97,771278.2,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-02,RB1105,ÂÝÎÆ¸Ö1105,769414.8,0.07,10.0,4542.0,132805.97,769414.8,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-03,RB1105,ÂÝÎÆ¸Ö1105,770939.4,0.07,10.0,4551.0,154585.97,770939.4,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-04,RB1105,ÂÝÎÆ¸Ö1105,780256.4,0.07,10.0,4606.0,287685.97,780256.4,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-05,RB1105,ÂÝÎÆ¸Ö1105,797535.2,0.07,10.0,4708.0,534525.97,797535.2,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-08,RB1105,ÂÝÎÆ¸Ö1105,797704.6,0.07,10.0,4709.0,536945.97,797704.6,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-09,RB1105,ÂÝÎÆ¸Ö1105,822267.6,0.07,10.0,4854.0,887845.97,822267.6,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-10,RB1105,ÂÝÎÆ¸Ö1105,0.0,0.07,10.0,4770.0,0.0,0.0,0.0,4487.121,-0.0,0.0,0.0,0.0
2010-11-12,RB1105,ÂÝÎÆ¸Ö1105,808229.1,0.07,10.0,4637.0,-2886.532,808229.1,249.0,4638.159,-0.0,0.0,0.0,0.0
2010-11-15,RB1105,ÂÝÎÆ¸Ö1105,813458.1,0.07,10.0,4667.0,71813.468,813458.1,249.0,4638.159,-0.0,0.0,0.0,0.0
2010-11-16,RB1105,ÂÝÎÆ¸Ö1105,809797.8,0.07,10.0,4646.0,19523.468,809797.8,249.0,4638.159,-0.0,0.0,0.0,0.0
2010-11-17,RB1105,ÂÝÎÆ¸Ö1105,0.0,0.07,10.0,4550.0,-0.0,0.0,0.0,4638.159,-0.0,0.0,0.0,0.0
2010-11-19,RB1105,ÂÝÎÆ¸Ö1105,793024.4,0.07,10.0,4643.0,-2832.23,793024.4,244.0,4644.161,-0.0,0.0,0.0,0.0
2010-11-22,RB1105,ÂÝÎÆ¸Ö1105,793195.2,0.07,10.0,4644.0,-392.23,793195.2,244.0,4644.161,-0.0,0.0,0.0,0.0
2010-11-23,RB1105,ÂÝÎÆ¸Ö1105,786875.6,0.07,10.0,4607.0,-0.0,0.0,0.0,4644.161,-2810.27,786875.6,244.0,4605.848
2010-11-24,RB1105,ÂÝÎÆ¸Ö1105,0.0,0.07,10.0,4695.0,0.0,0.0,0.0,4644.161,-0.0,0.0,0.0,4605.848
2010-11-26,RB1105,ÂÝÎÆ¸Ö1105,771435.0,0.07,10.0,4650.0,0.0,0.0,0.0,0.0,-2755.125,771435.0,237.0,4648.837
2010-11-29,RB1105,ÂÝÎÆ¸Ö1105,767886.0,0.07,10.0,4668.0,-2742.45,767886.0,235.0,4669.167,-0.0,0.0,0.0,4648.837
2010-11-30,RB1105,ÂÝÎÆ¸Ö1105,762293.0,0.07,10.0,4634.0,-0.0,0.0,0.0,4669.167,-2722.475,762293.0,235.0,4632.842
2010-12-01,RB1105,ÂÝÎÆ¸Ö1105,753158.0,0.07,10.0,4678.0,-2689.85,753158.0,230.0,4679.17,-0.0,0.0,0.0,4632.842
