date,cash,transaction_cost,market_value,total_value,position_pnl,trading_pnl,daily_pnl,margin
2015-04-28,16797597.353,0.0,17673260.0,17681260.353,-73700.0,0.0,-73700.0,883663.0
2015-04-29,17247764.754,1724.149,0.0,17247764.754,-427460.0,-4311.45,-433495.599,0.0
2015-04-30,17247764.754,0.0,0.0,17247764.754,0.0,0.0,0.0,0.0
2015-05-04,16380293.236,1723.313,17228820.0,17241734.236,0.0,-4307.205,-6030.518,861441.0
2015-05-05,16482038.236,0.0,17335920.0,17348834.236,107100.0,0.0,107100.0,866796.0
2015-05-06,16495604.236,0.0,17350200.0,17363114.236,14280.0,0.0,14280.0,867510.0
2015-05-07,16339595.236,0.0,17185980.0,17198894.236,-164220.0,0.0,-164220.0,859299.0
2015-05-08,16373510.236,0.0,17221680.0,17234594.236,35700.0,0.0,35700.0,861084.0
2015-05-11,16434557.236,0.0,17285940.0,17298854.236,64260.0,0.0,64260.0,864297.0
2015-05-12,17078679.554,1706.747,0.0,17078679.554,-214200.0,-4267.935,-220174.682,0.0
2015-05-13,17078679.554,0.0,0.0,17078679.554,0.0,0.0,0.0,0.0
2015-05-14,16219665.68,1705.659,-17060860.0,17072708.68,0.0,-4265.215,-5970.874,853043.0
2015-05-15,16145419.248,3414.161,17007240.0,16995781.248,-64980.0,-8533.27,-76927.431,850362.0
2015-05-18,15978148.68,3365.275,-16818840.0,16819090.68,-164910.0,-8415.293,-176690.568,840942.0
2015-05-19,16030774.68,0.0,-16768720.0,16869210.68,50120.0,0.0,50120.0,838436.0
2015-05-20,16241278.68,0.0,-16568240.0,17069690.68,200480.0,0.0,200480.0,828412.0
2015-05-21,16849016.197,1678.724,0.0,16849016.197,-214800.0,-4195.76,-220674.484,0.0
2015-05-22,16849016.197,0.0,0.0,16849016.197,0.0,0.0,0.0,0.0
2015-05-25,16001727.321,1682.378,-16827990.0,16843126.821,0.0,-4206.997,-5889.376,841399.5
2015-05-26,15971613.321,0.0,-16856670.0,16814446.821,-28680.0,0.0,-28680.0,842833.5
2015-05-27,15941499.321,0.0,-16885350.0,16785766.821,-28680.0,0.0,-28680.0,844267.5
2015-05-28,15941499.321,0.0,-16885350.0,16785766.821,0.0,0.0,0.0,844267.5
2015-05-29,15911385.321,0.0,-16914030.0,16757086.821,-28680.0,0.0,-28680.0,845701.5
2015-06-01,15813514.821,0.0,-17007240.0,16663876.821,-93210.0,0.0,-93210.0,850362.0
2015-06-02,15799337.167,3366.216,16625000.0,16630587.167,-21510.0,-8413.438,-33289.654,831250.0
2015-06-03,16442832.528,1643.889,0.0,16442832.528,-182000.0,-4110.75,-187754.639,0.0
2015-06-04,16442832.528,0.0,0.0,16442832.528,0.0,0.0,0.0,0.0
2015-06-05,15615390.102,1642.971,-16433820.0,16437081.102,0.0,-4108.455,-5751.426,821691.0
2015-06-08,15666987.102,0.0,-16384680.0,16486221.102,49140.0,0.0,49140.0,819234.0
2015-06-09,15644874.102,0.0,-16405740.0,16465161.102,-21060.0,0.0,-21060.0,820287.0
2015-06-10,15652245.102,0.0,-16398720.0,16472181.102,7020.0,0.0,7020.0,819936.0
2015-06-11,15511294.493,3286.046,16320150.0,16327301.993,-133380.0,-8213.062,-144879.109,816007.5
2015-06-12,15933646.167,1592.809,0.0,15933646.167,-388080.0,-3983.018,-393655.826,0.0
2015-06-15,15933646.167,0.0,0.0,15933646.167,0.0,0.0,0.0,0.0
2015-06-16,15131807.71,1592.132,-15925300.0,15928072.71,0.0,-3981.325,-5573.457,796265.0
2015-06-17,15280907.71,0.0,-15783300.0,16070072.71,142000.0,0.0,142000.0,789165.0
2015-06-18,15116897.71,0.0,-15939500.0,15913872.71,-156200.0,0.0,-156200.0,796975.0
2015-06-19,15109442.71,0.0,-15946600.0,15906772.71,-7100.0,0.0,-7100.0,797330.0
2015-06-23,15161627.71,0.0,-15896900.0,15956472.71,49700.0,0.0,49700.0,794845.0
2015-06-24,15146717.71,0.0,-15911100.0,15942272.71,-14200.0,0.0,-14200.0,795555.0
2015-06-25,15318182.71,0.0,-15747800.0,16105572.71,163300.0,0.0,163300.0,787390.0
2015-06-26,15355457.71,0.0,-15712300.0,16141072.71,35500.0,0.0,35500.0,785615.0
2015-06-29,15594017.71,0.0,-15485100.0,16368272.71,227200.0,0.0,227200.0,774255.0
2015-06-30,15936947.71,0.0,-15158500.0,16694872.71,326600.0,0.0,326600.0,757925.0
2015-07-01,16018952.71,0.0,-15080400.0,16772972.71,78100.0,0.0,78100.0,754020.0
2015-07-02,16018952.71,0.0,-15080400.0,16772972.71,0.0,0.0,0.0,754020.0
2015-07-03,16041317.71,0.0,-15059100.0,16794272.71,21300.0,0.0,21300.0,752955.0
2015-07-06,16742087.71,0.0,-14391700.0,17461672.71,667400.0,0.0,667400.0,719585.0
2015-07-07,17263937.71,0.0,-13894700.0,17958672.71,497000.0,0.0,497000.0,694735.0
2015-07-08,17755967.71,0.0,-13426100.0,18427272.71,468600.0,0.0,468600.0,671305.0
2015-07-09,17619992.414,1423.196,0.0,17619992.414,-802300.0,-3557.1,-807280.296,0.0
2015-07-10,17619992.414,0.0,0.0,17619992.414,0.0,0.0,0.0,0.0
2015-07-13,16733321.299,1760.576,-17610160.0,17613829.299,0.0,-4402.54,-6163.116,880508.0
2015-07-14,16742529.799,0.0,-17601390.0,17622599.299,8770.0,0.0,8770.0,880069.5
2015-07-15,16899074.299,0.0,-17452300.0,17771689.299,149090.0,0.0,149090.0,872615.0
2015-07-16,16760946.799,0.0,-17583850.0,17640139.299,-131550.0,0.0,-131550.0,879192.5
2015-07-17,16751738.299,0.0,-17592620.0,17631369.299,-8770.0,0.0,-8770.0,879631.0
2015-07-20,17037415.771,1818.476,0.0,17037415.771,-587590.0,-4545.053,-593953.528,0.0
2015-07-21,17037415.771,0.0,0.0,17037415.771,0.0,0.0,0.0,0.0
2015-07-22,16180470.273,1701.553,-17019780.0,17031459.273,0.0,-4254.945,-5956.498,850989.0
2015-07-23,16013289.273,0.0,-17179000.0,16872239.273,-159220.0,0.0,-159220.0,858950.0
2015-07-24,16066083.273,0.0,-17128720.0,16922519.273,50280.0,0.0,50280.0,856436.0
2015-07-27,16665035.797,1738.447,0.0,16665035.797,-251400.0,-4345.03,-257483.477,0.0
2015-07-28,16665035.797,0.0,0.0,16665035.797,0.0,0.0,0.0,0.0
2015-07-29,15826813.615,1665.206,16647900.0,16659208.615,0.0,-4161.975,-5827.181,832395.0
2015-07-30,16456201.299,1644.654,0.0,16456201.299,-197250.0,-4112.662,-203007.316,0.0
2015-07-31,16456201.299,0.0,0.0,16456201.299,0.0,0.0,0.0,0.0
2015-08-03,15628598.945,1644.109,16436980.0,16450447.945,0.0,-4109.245,-5753.354,821849.0
2015-08-04,15771374.445,0.0,16587270.0,16600737.945,150290.0,0.0,150290.0,829363.5
2015-08-05,15778888.945,0.0,16595180.0,16608647.945,7910.0,0.0,7910.0,829759.0
2015-08-06,16428880.95,1641.705,0.0,16428880.95,-174020.0,-4105.29,-179766.995,0.0
2015-08-07,16428880.95,0.0,0.0,16428880.95,0.0,0.0,0.0,0.0
2015-08-10,15602066.388,1641.724,-16421350.0,16423133.888,0.0,-4105.337,-5747.062,821067.5
2015-08-11,15534614.388,0.0,-16485590.0,16358893.888,-64240.0,0.0,-64240.0,824279.5
2015-08-12,15382847.388,0.0,-16630130.0,16214353.888,-144540.0,0.0,-144540.0,831506.5
2015-08-13,16039843.902,1680.296,0.0,16039843.902,-168630.0,-4199.69,-174509.986,0.0
2015-08-14,16039843.902,0.0,0.0,16039843.902,0.0,0.0,0.0,0.0
2015-08-17,15232249.939,1603.56,-16039610.0,16034230.439,0.0,-4009.902,-5613.463,801980.5
2015-08-18,15314044.939,0.0,-15961710.0,16112130.439,77900.0,0.0,77900.0,798085.5
2015-08-19,15354942.439,0.0,-15922760.0,16151080.439,38950.0,0.0,38950.0,796138.0
2015-08-20,15485814.439,0.0,-15798120.0,16275720.439,124640.0,0.0,124640.0,789906.0
2015-08-21,15518532.439,0.0,-15766960.0,16306880.439,31160.0,0.0,31160.0,788348.0
2015-08-24,16254687.439,0.0,-15065860.0,17007980.439,701100.0,0.0,701100.0,753293.0
2015-08-25,16262866.939,0.0,-15058070.0,17015770.439,7790.0,0.0,7790.0,752903.5
2015-08-26,16230148.939,0.0,-15089230.0,16984610.439,-31160.0,0.0,-31160.0,754461.5
2015-08-27,16729961.577,1534.234,0.0,16729961.577,-249280.0,-3834.627,-254648.862,0.0
2015-08-28,16729961.577,0.0,0.0,16729961.577,0.0,0.0,0.0,0.0
2015-08-31,15887674.972,1672.446,-16728640.0,16724106.972,0.0,-4182.16,-5854.606,836432.0
2015-09-01,15788691.472,0.0,-16822910.0,16629836.972,-94270.0,0.0,-94270.0,841145.5
2015-09-02,15860679.472,0.0,-16754350.0,16698396.972,68560.0,0.0,68560.0,837717.5
2015-09-07,16175626.972,0.0,-16454400.0,16998346.972,299950.0,0.0,299950.0,822720.0
2015-09-08,16743970.529,1670.711,0.0,16743970.529,-248530.0,-4175.732,-254376.443,0.0
2015-09-09,16743970.529,0.0,0.0,16743970.529,0.0,0.0,0.0,0.0
2015-09-10,15900942.771,1673.917,-16743360.0,16738110.771,0.0,-4185.84,-5859.757,837168.0
2015-09-11,15990822.771,0.0,-16657760.0,16823710.771,85600.0,0.0,85600.0,832888.0
2015-09-14,16143618.771,0.0,-16512240.0,16969230.771,145520.0,0.0,145520.0,825612.0
2015-09-15,16323378.771,0.0,-16341040.0,17140430.771,171200.0,0.0,171200.0,817052.0
2015-09-16,16920636.093,1655.918,0.0,16920636.093,-214000.0,-4138.76,-219794.678,0.0
2015-09-17,16920636.093,0.0,0.0,16920636.093,0.0,0.0,0.0,0.0
2015-09-18,16069036.756,1690.937,-16913600.0,16914716.756,0.0,-4228.4,-5919.337,845680.0
2015-09-21,16235356.756,0.0,-16755200.0,17073116.756,158400.0,0.0,158400.0,837760.0
2015-09-22,16355476.756,0.0,-16640800.0,17187516.756,114400.0,0.0,114400.0,832040.0
2015-09-23,16253836.756,0.0,-16737600.0,17090716.756,-96800.0,0.0,-96800.0,836880.0
